exercise_id,name,disposition,is_movement,family,modality,equipment,load_position,stance,range_depth,symmetry,grip_orientation,grip_width,bench_angle,identity_styles,modifier_note,goals,primary_muscles,secondary_muscles,generated_name_preview,name_action,confidence,note,variant_label,new_attributes
8a2b76ff-8f3f-4bf3-83e8-15e9c0263c66,2 Tap Climbers,derives:Mountain Climber,false,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,Strength,Core,Hip Flexors;Shoulders,Double-Tap Mountain Climber,keep-custom,medium,mountain-climber accessory; no Mountain Climber base row exists,double-tap,variant:double-tap
00b1670c-b022-44d1-9587-31655583cdc6,90/90s,outlier,false,Mobility,Recovery,Floor,,,,,,,,,,Mobility,Glutes;Hip Flexors,Hip Abductors;Hip Adductors,,keep-custom,high,recovery/mobility,,
24a81876-d389-4ba9-a35a-87bb7ac70fbd,Ab Rollout,outlier,false,Midline,Weightlifting,Bodyweight,,,,,,,,,,Strength,Core,Lats;Shoulders,,keep-custom,high,midline accessory,,
8c35133e-f9c9-4b6c-8a25-fb894bcf4201,Advanced Crunch,derives:Crunch,false,Midline,Gymnastics,Bodyweight;Floor,,,,,,,,,,MetCon,Core,Hip Flexors,Advanced Crunch,adopt-generated,high,"FLAG: low-information import name, probable duplicate-of Crunch - confirm with user before the apply migration",advanced,variant:advanced
87269f06-8ae1-4320-b581-6084daf46ac6,Air Squat,duplicate-of:Squat,false,Squat,Monostructural,Bodyweight,,,,,,,,,,MetCon,Glutes;Quads,Calves;Core;Hamstrings,,keep-custom,high,merges into core Squat; name -> wild alias,,
9f6fabc9-1edb-4f68-bb95-25cbc62e24d2,"Air Squat, Reverse Lunge, And Burpee Complex",outlier,false,Squat,Gymnastics,Bodyweight,,,,,,,,,,MetCon,Full Body,Chest;Core;Glutes;Quads,,keep-custom,high,ad-hoc complex,,
72b6914d-98c7-4f2e-a642-40b28b240608,Alternating Cossack Squat To Halo,outlier,false,Squat,Weightlifting,Kettlebell,,,,,,,,,,Strength,Hip Adductors;Quads;Shoulders,Core;Glutes;Obliques,,keep-custom,high,ad-hoc combo,,
95550834-e6de-4d4e-8499-a74dd2922c2f,Alternating Dumbbell Curl,derives:Curl,false,Pull,Weightlifting,Dumbbell,,,,Alternating,,,,,,Strength,Biceps,Forearms / Grip,Alternating Dumbbell Curl,adopt-generated,high,Dumbbell + Alternating symmetry,,
7edf591c-d068-4139-bc1f-f0151a0489e6,Alternating Dumbbell Flys,derives:Chest Fly,false,Push/Press,Weightlifting,Dumbbell;Bench,,,,Alternating,,,,,,Strength,Chest,Shoulders,Alternating Chest Fly,adopt-generated,high,Alternating symmetry; Dumbbell;Bench suppressed as core defaults,,
75cf65f4-8e6a-444d-8166-080699972de4,Alternating Dumbbell Press,derives:Press,false,Push/Press,Weightlifting,Dumbbell,,,,Alternating,,,,,,Strength,Chest,Shoulders;Triceps,Alternating Dumbbell Press,adopt-generated,high,Dumbbell + Alternating symmetry,,
