attribute_table,value_name,category_if_any,name_fragment,name_order,is_identity,implies_equipment,notes
directions (NEW TABLE),Front,,Front,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Lateral,,Lateral,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Rear,,Rear,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Diagonal,,Diagonal,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Reverse,,Reverse,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Walking,,Walking,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Curtsy,,Curtsy,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
directions (NEW TABLE),Low-to-High,,Low-to-High,22,true,,"Direction/Path. Closes the lunge-direction, delt-raise-plane and fly-path gaps; resolves 2 live collisions"
support_positions (NEW TABLE),Forearm,,,24,true,,Plank/support orientation. Forearm is the silent default
support_positions (NEW TABLE),Hand,,High,24,true,,Plank/support orientation. Forearm is the silent default
support_positions (NEW TABLE),Side,,Side,24,true,,Plank/support orientation. Forearm is the silent default
arm_positions (NEW TABLE),Overhead,,Overhead,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
arm_positions (NEW TABLE),Behind-Body,,Behind-Body,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
arm_positions (NEW TABLE),In-Front,,In-Front,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
arm_positions (NEW TABLE),Across-Body,,Cross-Body,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
arm_positions (NEW TABLE),Braced,,Concentration,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
arm_positions (NEW TABLE),Straight-Arm,,Straight-Arm,26,true,,Humerus position. Resolves the High Cable Curl collision and the straight-arm pulldown outliers
stances (EXISTING TABLE),Bridge,,Bridge,30,true,,NEW VALUE. Body base position - the natural extension of Seated/Kneeling/Supine/Prone
stances (EXISTING TABLE),Hollow,,Hollow,30,true,,NEW VALUE. Body base position - the natural extension of Seated/Kneeling/Supine/Prone
stances (EXISTING TABLE),V-Sit,,V-Sit,30,true,,NEW VALUE. Body base position - the natural extension of Seated/Kneeling/Supine/Prone
stances (EXISTING TABLE),Squat-Hold,,Squat-Hold,30,true,,NEW VALUE. Body base position - the natural extension of Seated/Kneeling/Supine/Prone
stances (EXISTING TABLE),Tabletop,,Tabletop,30,true,,NEW VALUE. Body base position - the natural extension of Seated/Kneeling/Supine/Prone
equipment (EXISTING TABLE),Machine,Machines,Machine,40,true,,NEW VALUE. Machine also repairs the empty fingerprints of the Leg Press / Leg Curl / Triceps Extension cores
equipment (EXISTING TABLE),Landmine,Implements,Landmine,40,true,,NEW VALUE. Machine also repairs the empty fingerprints of the Leg Press / Leg Curl / Triceps Extension cores
equipment (EXISTING TABLE),Cable,Machines,Cable,40,true,,"PREVIOUSLY APPROVED ADDENDUM, still unseeded in the DB - the sheet already uses it (30 rows)"
equipment (EXISTING TABLE),Smith Machine,Machines,Smith Machine,40,true,,"PREVIOUSLY APPROVED ADDENDUM, still unseeded in the DB - the sheet already uses it (1 rows)"
movement_styles (EXISTING TABLE),Crush,Execution,Crush,14,true,,"NEW VALUE, identity. Isometric adduction of the load (crush/squeeze press). Removes the Close-Grip DB Bench objection"
bench_angles (NEW TABLE),Flat,,,28,true,,"PREVIOUSLY APPROVED ADDENDUM, still unseeded. Flat is the silent default; Incline/Decline imply equipment Bench (suppressed)"
bench_angles (NEW TABLE),Incline,,Incline,28,true,Bench,"PREVIOUSLY APPROVED ADDENDUM, still unseeded. Flat is the silent default; Incline/Decline imply equipment Bench (suppressed)"
bench_angles (NEW TABLE),Decline,,Decline,28,true,Bench,"PREVIOUSLY APPROVED ADDENDUM, still unseeded. Flat is the silent default; Incline/Decline imply equipment Bench (suppressed)"
symmetries (EXISTING TABLE),Cross-Body / Rotational,,Cross-Body,35,true,,"AMENDMENT to an existing value: give it a name fragment. The ""Unilateral cannot know the word"" rationale does not apply here - Cross-Body is unambiguous. Without it Elbow-To-Knee Crunch generates the bare core name"
variant_labels (NEW TABLE),double,core scope: Crunch,Double,48,true,,"G2-scoped to core ""Crunch"". Used by 1 row(s): Double Crunch (imported as Advanced Crunch; user-confirmed distinct 2026-09-08)"
