section,display_name,generated_name,derived_from,parent,tier,movements_tab,family,modality,equipment,load_position,stance,range_depth,symmetry,grip,grip_width,bench_angle,styles,direction,support,arm_position,variant,aliases,goals,primary_muscles,secondary_muscles,prescription_modifiers,confidence,needs_confirmation,note
core,Bench Press,Bench Press,,,0,yes,Push/Press,Weightlifting,,,,,,,,,,,,,,Barbell Bench Press (Medium Grip),Strength,"Chest, Shoulders, Triceps",,,high,,"promoted core; Barbell+Bench are its silent default equipment (mirrors load-position implication); core carries no equipment (new convention); default ""Barbell;Bench"" is name-suppression only, not identity"
core,Bent-Over Row,Bent-Over Row,,,0,yes,Pull,Weightlifting,,,,,,,,,,,,,,Barbell Row; Bent Over Barbell Row,,,,,high,,new core row (core default equipment: Barbell)
core,Bike,Bike,,,0,yes,Bike,Monostructural,,,,,,,,,,,,,,,MetCon,Full Body,,,high,,"promoted core; assault_bike tag folds into Bike (Q6); Assault/Echo stay aliases; core carries no equipment (new convention); default ""Bike"" is name-suppression only, not identity"
core,Burpee,Burpee,,,0,yes,Plyometric,Gymnastics,,,,,,,,,,,,,,Bodyweight Burpee; Chest-to-Ground Burpee; Standard Burpee,MetCon,"Chest, Core, Glutes, Quads, Shoulders","Calves, Hamstrings, Lower Back, Triceps",,high,,"promoted core; un-parent from Squat; family Squat -> Plyometric; core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
core,Carry,Carry,,,0,yes,Carry,Weightlifting,,,,,,,,,,,,,,,,,,,high,,new core row (core default equipment: none)
core,Clean,Clean,,,0,yes,Olympic,Weightlifting,,,,,,,,,,,,,,Barbell Clean; Full Clean; Squat Clean,"Skill, Strength","Glutes, Hamstrings, Neck / Traps, Quads","Calves, Core, Forearms / Grip, Lats, Shoulders",,high,,"keep as-is; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Deadlift,Deadlift,,,0,yes,Hinge,Weightlifting,,,,,,,,,,,,,,Barbell Deadlift; Conventional Deadlift,Strength,"Glutes, Hamstrings, Lower Back","Core, Forearms / Grip, Upper Back",,high,,"keep as-is; core carries no equipment (new convention); default ""Barbell"" is name-suppression only, not identity"
core,Dip,Dip,,,0,yes,Push/Press,Gymnastics,,,,,,,,,,,,,,Dip Or Seated Machine Dip; Dips; Dips - Tricep Version,Skill,"Chest, Shoulders, Triceps",,,high,,"promoted core; dip station implied by Bodyweight (no station equipment value); core carries no equipment (new convention); default ""Bodyweight"" is name-suppression only, not identity"
core,Handstand Push-Up,Handstand Push-Up,,,0,yes,Push/Press,Gymnastics,,,,,,,,,,,,,,Handstand Push-up,Skill,"Core, Shoulders, Triceps",,,high,,"promoted core; casing fix; wall implied for standard HSPU; core carries no equipment (new convention); default ""Bodyweight;Wall"" is name-suppression only, not identity"
core,Handstand Walk,Handstand Walk,,,0,yes,Inversion,Gymnastics,,,,,,,,,,,,,,,Skill,"Core, Shoulders",,,medium,,"promoted core; 0 derivers today (root locomotion skill, Run/Row precedent); core carries no equipment (new convention); default ""Bodyweight;Floor"" is name-suppression only, not identity"
